source,agency,dataflow_id,version,selector_dim,source_indicator_code,indicator,age_dim,sex_dim,fixed_dim,fixed_value,unit,description
tuik_press,TR,PRESS_BASIC_FERTILITY_INDICATORS,,,col5,MEAN_AGE_CHILDBEARING,,,,,YEARS,Mean age of mother at childbearing -- press-portal source; see TOTAL_BIRTHS row above
tuik_press,TR,PRESS_BASIC_FERTILITY_INDICATORS,,,col6,MEAN_AGE_FIRST_BIRTH,,,,,YEARS,Mean age of mother at birth of first child -- no SDMX equivalent
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Number of deaths,TOTAL_DEATHS,,sex,,,PERSONS,Total deaths by sex -- TUIK publishes zero mortality statistics via SDMX; this table is the first native (non-Eurostat-proxy) source in the data bank
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Crude death rate,CDR,,,,,PER_1000,Crude death rate -- native TUIK; see TOTAL_DEATHS row above; compare against the existing Eurostat-sourced CDR
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Number of Infant deaths,INFANT_DEATHS,,sex,,,PERSONS,Infant deaths by sex -- native TUIK; no SDMX equivalent
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Infant mortality rate,INFANT_MORTALITY_RATE,,sex,,,PER_1000,Infant mortality rate by sex -- native TUIK; compare against the existing Eurostat-sourced IMR which has no sex breakdown
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Number of under five deaths,UNDER5_DEATHS,,sex,,,PERSONS,Under-five deaths by sex -- native TUIK; no SDMX equivalent
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Under five mortality rate,UNDER5_MORTALITY_RATE,,sex,,,PER_1000,Under-five mortality rate by sex -- no SDMX equivalent
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Number of neonatal deaths,NEONATAL_DEATHS,,sex,,,PERSONS,Neonatal deaths by sex -- native TUIK; no SDMX equivalent
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Neonatal mortality rate,NEONATAL_MORTALITY_RATE,,sex,,,PER_1000,Neonatal mortality rate by sex -- no SDMX equivalent
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Number of post neonatal deaths,POST_NEONATAL_DEATHS,,sex,,,PERSONS,Post-neonatal deaths by sex -- native TUIK; no SDMX equivalent
tuik_press,TR,PRESS_BASIC_MORTALITY_INDICATORS,,,Post neonatal mortality rate,POST_NEONATAL_MORTALITY_RATE,,sex,,,PER_1000,Post-neonatal mortality rate by sex -- no SDMX equivalent
tuik_press,TR,PRESS_INTERNAL_MIGRATION_VOLUME,,,Population migrated across provinces,INTERNAL_MIGRATION_VOLUME,,sex,,,PERSONS,"National count of people who changed province of residence by sex -- TUIK publishes zero migration statistics via SDMX at all; national-level only (province-level needs NUTS-3 ref_area codes, not yet built)"
tuik_press,TR,PRESS_INTERNAL_MIGRATION_VOLUME,,,Proportion of population migrated across provinces,INTERNAL_MIGRATION_RATE,,sex,,,PERCENT,Share of population that changed province of residence by sex -- see INTERNAL_MIGRATION_VOLUME row above
tuik_press,TR,PRESS_POPULATION_TOTAL,,,Population,TOTAL_POPULATION,,,,,PERSONS,"National population count by year -- native TUIK (ABPRS, Address Based Population Registration System, as of Dec 31); distinct from Eurostat's POP_JAN1 (different reference date and methodology)"
tuik_press,TR,PRESS_POPULATION_TOTAL,,,Annual growth rate of population,POP_GROWTH_RATE,,,,,PER_1000,"Annual population growth rate by year -- native TUIK (ABPRS); compare against the existing Eurostat-sourced POP_GROWTH_RATE"
tuik_press,TR,PRESS_MARRIAGE_DIVORCE_HEADLINE,,,Number of marriages,NUMBER_OF_MARRIAGES,,,,,PERSONS,National count of marriages by year -- press-portal source; independent of the SDMX nuptiality dataflows
tuik_press,TR,PRESS_MARRIAGE_DIVORCE_HEADLINE,,,Crude marriage rate,CRUDE_MARRIAGE_RATE,,,,,PER_1000,Crude marriage rate by year -- native TUIK; see NUMBER_OF_MARRIAGES row above
tuik_press,TR,PRESS_MARRIAGE_DIVORCE_HEADLINE,,,Number of divorces,NUMBER_OF_DIVORCES,,,,,PERSONS,National count of divorces by year -- see NUMBER_OF_MARRIAGES row above
tuik_press,TR,PRESS_MARRIAGE_DIVORCE_HEADLINE,,,Crude divorce rate,CRUDE_DIVORCE_RATE,,,,,PER_1000,Crude divorce rate by year -- see NUMBER_OF_MARRIAGES row above
tuik_press,TR,PRESS_INTERNATIONAL_MIGRATION,,,Immigrants,IMMIGRANTS,,sex,,,PERSONS,"National total by sex, only the Toplam-Total row of a table that also breaks down by age group (age breakdown not parsed yet) -- first international migration figure in the data bank"
tuik_press,TR,PRESS_INTERNATIONAL_MIGRATION,,,Emigrants,EMIGRANTS,,sex,,,PERSONS,National total by sex -- see IMMIGRANTS row above
tuik_press,TR,PRESS_HEALTHY_LIFE_YEARS,,,Healthy life years,HEALTHY_LIFE_YEARS,age_group,sex,,,YEARS,"Health-adjusted life expectancy by age group and sex -- time_period is a multi-year range (e.g. 2022-2024), not a single calendar year"
tuik_press,TR,PRESS_ASFR,,,Age specific fertility rates,ASFR,age_band,,,,PER_1000,"National age-specific fertility rate by 5-year age band -- press-portal source, faster than the SDMX ASFR series"
tuik_press,TR,PRESS_MEAN_AGE_FIRST_MARRIAGE,,,Mean age at first marriage by province and sex,MEAN_AGE_FIRST_MARRIAGE,,sex,,,YEARS,"National figure only, extracted from the Turkiye row of an otherwise-provincial table; no combined-sex value exists in the source"
